id;amount;label;validated_date;statement_type;created_by;created_date;account_id
1;10800;"Wqzee";2020-11-15T09:23:46;DEPOSIT;"TDr";2020-11-15T17:45:38;2
2;84020;"MTDrp";2020-11-15T21:53:20;WITHDRAW;"TDr";2020-11-15T17:45:38;2
3;41892;"fUqee";2020-11-15T16:29:53;WITHDRAW;"TDr";2020-11-15T17:45:38;2
4;99007;"DRees";2020-11-15T16:43:33;DEPOSIT;"TDr";2020-11-15T17:45:38;2
6;90016;"Fmiee";2020-11-15T05:54:23;WITHDRAW;"TDr";2020-11-15T17:45:38;2
7;60330;"2jaee";2020-11-15T06:14:36;DEPOSIT;"TDr";2020-11-15T17:45:38;2
8;84996;"deee";2020-11-15T08:18:01;WITHDRAW;"TDr";2020-11-15T17:45:38;2
9;20799;"Hee9";2020-11-15T01:25:15;DEPOSIT;"TDr";2020-11-15T17:45:38;2
10;20799;"Hee9";2020-11-15T01:25:15;DEPOSIT;"TDr";2020-11-15T17:45:38;6
11;10800;"Wqz";2020-11-15T09:23:46;DEPOSIT;"TDr";2020-11-15T17:45:38;3
12;84020;"MTDrp";2020-11-15T21:53:20;WITHDRAW;"TDr";2020-11-15T17:45:38;3
13;41892;"fadsvUq";2020-11-15T16:29:53;WITHDRAW;"TDr";2020-11-15T17:45:38;3
14;99007;"DasdvRs";2020-11-15T16:43:33;DEPOSIT;"TDr";2020-11-15T17:45:38;3
16;90016;"Feemi";2020-11-15T05:54:23;WITHDRAW;"TDr";2020-11-15T17:45:38;4
17;60330;"2jasdva";2020-11-15T06:14:36;DEPOSIT;"TDr";2020-11-15T17:45:38;4
18;84996;"eeed";2020-11-15T08:18:01;WITHDRAW;"TDr";2020-11-15T17:45:38;5
19;20799;"Heeee9";2020-11-15T01:25:15;DEPOSIT;"TDr";2020-11-15T17:45:38;5
20;10800;"Wqeez";2020-11-15T09:23:46;DEPOSIT;"TDr";2020-11-15T17:45:38;6
21;10800;"Wqeez";2020-11-15T09:23:46;DEPOSIT;"TDr";2020-11-15T17:45:38;7
22;84020;"MTDreep";2020-11-15T21:53:20;WITHDRAW;"TDr";2020-11-15T17:45:38;7
23;41892;"fUeeq";2020-11-15T16:29:53;WITHDRAW;"TDr";2020-11-15T17:45:38;8
24;99007;"DRasdvs";2020-11-15T16:43:33;DEPOSIT;"TDr";2020-11-15T17:45:38;9
26;90016;"Fmragi";2020-11-15T05:54:23;WITHDRAW;"TDr";2020-11-15T17:45:38;9
27;60330;"2jasda";2020-11-15T06:14:36;DEPOSIT;"TDr";2020-11-15T17:45:38;8
28;84996;"asdvd";2020-11-15T08:18:01;WITHDRAW;"TDr";2020-11-15T17:45:38;7
29;20799;"H9ded";2020-11-15T01:25:15;DEPOSIT;"TDr";2020-11-15T17:45:38;6
